Status,Attending,Current studies status,How often did you have to make decisions based on data in the past year?,What are the most common sources for the data you are working with?,current preferred method for data visualization,How familiar are you with the following technologies (1 - never heard of it; 5 - I have working experience) [Python Language],How familiar are you with the following technologies (1 - never heard of it; 5 - I have working experience) [Pandas],How familiar are you with the following technologies (1 - never heard of it; 5 - I have working experience) [Matplotlib]
fit,yes,Master student,Never,SQL,Online tools,4,1,1
fit,no,Graduated,More than a couple of times,Web;SQL,Online tools,2,2,1
fit,yes,Master student,A couple of times,SQL;Excel,Excel,5,2,2
fit,yes,Master student,More than a couple of times,Web;SQL;SAS,Python library;R library,4,3,3
fit,,Graduated,A couple of times,Web;SQL,Excel,3,1,2
fit,,Graduated,More than a couple of times,Web;SQL,Online tools;Excel,3,1,1
fit,yes,Undergrad student,More than a couple of times,Web;SQL;Excel;Other,Online tools;Excel;Python library;Matlab,5,3,3
fit,no,Graduated,A couple of times,Excel,Excel,3,1,1
fit,no,Graduated,More than a couple of times,Web;SAS;Excel,Online tools;Excel;R library,3,3,1
fit,yes,Master student,A couple of times,Web;Excel,Online tools;Excel;Python library;R library,4,3,3
fit,yes,Undergrad student,A couple of times,SQL,Online tools,3,2,2
fit,yes,Undergrad student,Never,None,Online tools;R library,2,1,3
fit,yes,Undergrad student,A couple of times,Web;SQL;Excel,Matlab,2,1,4
fit,yes,Master student,A couple of times,SQL;Excel,Online tools;Excel,2,1,1
fit,yes,Undergrad student,More than a couple of times,SQL;Excel,Python library;Tableau,4,3,2
fit,yes,Graduated,Never,None,Online tools;Excel,2,1,1
fit,yes,Graduated,A couple of times,Web;SQL,Online tools,2,1,1
fit,yes,Graduated,A couple of times,Web;SQL;Excel,Online tools,3,1,1
fit,yes,Graduated,Once,SQL,Online tools,4,1,1
fit,yes,Undergrad student,A couple of times,Web,Excel,2,1,1
fit,,Undergrad student,More than a couple of times,SQL;Excel,Excel;Matlab,3,1,1
fit,yes,Undergrad student,A couple of times,None,Online tools,3,1,1
fit,yes,Undergrad student,A couple of times,Web,Online tools,2,1,1
fit,yes,Undergrad student,Once,SQL,Python library,4,1,2
fit,,Master student,More than a couple of times,Other,Matlab,4,1,2
fit,yes,Undergrad student,A couple of times,Web;SQL,Online tools,3,1,1
fit,yes,Undergrad student,A couple of times,SQL;Excel,Online tools;Excel,4,1,3
fit,yes,Graduated,A couple of times,Web;SQL,Online tools;Excel,3,1,1
fit,yes,Undergrad student,More than a couple of times,Web;SQL;Excel,Online tools;Excel;Python library,5,2,2
fit,,Undergrad student,A couple of times,Web;SQL;Excel,Online tools;Excel,4,1,1
fit,yes,Undergrad student,A couple of times,Web;Excel,Online tools;Excel,5,2,2
fit,yes,Undergrad student,A couple of times,Excel,Excel,4,2,2
fit,yes,Undergrad student,More than a couple of times,Web;Excel,Online tools,3,1,1
fit,,Undergrad student,A couple of times,Web,Online tools,3,1,1
fit,yes,Undergrad student,More than a couple of times,SQL,Online tools,3,2,2
fit,yes,Undergrad student,A couple of times,Web;SQL;Excel,Online tools;Excel;Python library;R library,5,1,1
fit,,Undergrad student,A couple of times,SQL,Online tools,3,1,1
fit,yes,Undergrad student,Never,Web;SQL,Excel,4,1,1
fit,yes,Master student,A couple of times,Web;SQL,Online tools;Matlab,3,2,2
fit,yes,Undergrad student,A couple of times,SQL;Excel,Python library,3,1,1
over,no,Undergrad student,More than a couple of times,Web;SQL,Python library,4,5,4
over,no,Undergrad student,Once,SQL,R library,3,4,4
over,no,Undergrad student,A couple of times,Web,Python library,5,5,5
over,no,Undergrad student,A couple of times,SQL;Excel,Python library;Matlab,5,4,4
over,no,Graduated,A couple of times,Web;SQL;Excel,Online tools;Excel;R library,4,3,4
below,no,Graduated,More than a couple of times,Web;SQL,Online tools;R library,1,1,2
below,no,Undergrad student,Once,Web;SQL;Excel,Online tools;Excel,1,1,3
below,no,Undergrad student,Never,Excel,Online tools,1,1,1
